% nodeID, nodeType, latDeg, lonDeg, altMeters, parcelWtLbs 
0, 0, 47.664929, -122.147390, 0.000000, -1.000000 
1, 1, 47.706631, -122.324009, 0.000000, 3.000000 
2, 1, 47.568128, -122.111578, 0.000000, 4.000000 
3, 1, 47.512672, -122.272188, 0.000000, 1.000000 
4, 1, 47.654568, -122.198167, 0.000000, 3.000000 
5, 1, 47.630025, -122.144731, 0.000000, 5.000000 
6, 1, 47.670889, -122.365050, 0.000000, 5.000000 
7, 1, 47.563306, -122.318628, 0.000000, 100.000000 
8, 1, 47.577793, -122.173961, 0.000000, 5.000000 
9, 1, 47.624737, -122.335138, 0.000000, 1.000000 
10, 1, 47.683698, -122.385929, 0.000000, 1.000000 
11, 1, 47.659856, -122.312155, 0.000000, 4.000000 
12, 1, 47.615705, -122.134615, 0.000000, 2.000000 
13, 1, 47.500972, -122.292816, 0.000000, 4.000000 
14, 1, 47.591392, -122.339161, 0.000000, 3.000000 
15, 1, 47.489192, -122.156349, 0.000000, 5.000000 
16, 1, 47.711670, -122.253036, 0.000000, 1.000000 
17, 1, 47.563239, -122.338315, 0.000000, 3.000000 
18, 1, 47.644967, -122.355840, 0.000000, 1.000000 
19, 1, 47.530407, -122.180766, 0.000000, 5.000000 
20, 1, 47.492323, -122.299110, 0.000000, 100.000000 
21, 1, 47.633167, -122.351381, 0.000000, 100.000000 
22, 1, 47.626389, -122.334511, 0.000000, 1.000000 
23, 1, 47.568502, -122.210973, 0.000000, 5.000000 
24, 1, 47.622944, -122.132433, 0.000000, 2.000000 
25, 1, 47.566762, -122.367078, 0.000000, 3.000000 
26, 1, 47.694256, -122.374451, 0.000000, 5.000000 
27, 1, 47.541552, -122.180767, 0.000000, 100.000000 
28, 1, 47.653708, -122.312129, 0.000000, 5.000000 
29, 1, 47.626856, -122.307683, 0.000000, 5.000000 
30, 1, 47.656801, -122.351104, 0.000000, 5.000000 
31, 1, 47.675498, -122.202613, 0.000000, 2.000000 
32, 1, 47.619148, -122.115459, 0.000000, 3.000000 
33, 1, 47.604586, -122.320785, 0.000000, 100.000000 
34, 1, 47.659059, -122.113483, 0.000000, 5.000000 
35, 1, 47.534332, -122.395165, 0.000000, 1.000000 
36, 1, 47.669656, -122.309698, 0.000000, 3.000000 
37, 1, 47.538079, -122.129111, 0.000000, 5.000000 
38, 1, 47.528628, -122.319101, 0.000000, 4.000000 
39, 1, 47.702970, -122.327038, 0.000000, 1.000000 
40, 1, 47.662721, -122.293068, 0.000000, 4.000000 
41, 1, 47.617327, -122.318191, 0.000000, 100.000000 
42, 1, 47.658010, -122.270636, 0.000000, 3.000000 
43, 1, 47.599892, -122.187012, 0.000000, 100.000000 
44, 1, 47.636631, -122.107863, 0.000000, 5.000000 
45, 1, 47.475166, -122.125683, 0.000000, 100.000000 
46, 1, 47.654677, -122.316157, 0.000000, 3.000000 
47, 1, 47.590456, -122.293223, 0.000000, 5.000000 
48, 1, 47.608721, -122.162622, 0.000000, 100.000000 
49, 1, 47.593055, -122.306481, 0.000000, 5.000000 
50, 1, 47.636794, -122.233225, 0.000000, 1.000000 
