% from location i, to location j, time [sec], distance [meters] 
0, 0, 0.000000, 0.000000 
0, 1, 936.418053, 20406.757180 
0, 2, 591.808871, 10482.838119 
0, 3, 693.267393, 8938.920323 
0, 4, 503.928875, 8782.616596 
0, 5, 1136.494675, 23785.839994 
0, 6, 779.922664, 15790.238286 
0, 7, 629.826048, 11960.161365 
0, 8, 1090.674837, 20212.584035 
0, 9, 766.297022, 15818.039476 
0, 10, 627.982551, 10093.901745 
0, 11, 832.835878, 13973.743117 
0, 12, 1043.544844, 19846.293116 
0, 13, 575.302061, 10286.953684 
0, 14, 955.732024, 19062.736997 
0, 15, 1309.213020, 24597.441013 
0, 16, 1067.178333, 20248.949581 
0, 17, 1100.858949, 22005.534369 
0, 18, 472.168967, 6147.052392 
0, 19, 1182.999872, 23061.924750 
0, 20, 699.324061, 12252.658697 
0, 21, 505.263441, 8982.813162 
0, 22, 798.866186, 13884.927164 
0, 23, 1162.337859, 22449.859371 
0, 24, 990.487192, 16702.459487 
0, 25, 915.858105, 17948.933434 
0, 26, 630.250148, 11358.023659 
0, 27, 577.577699, 9073.578780 
0, 28, 1223.161376, 23618.939667 
0, 29, 730.212514, 12136.638524 
0, 30, 1310.682157, 25654.550774 
0, 31, 804.168080, 15517.567898 
0, 32, 552.909100, 10079.934539 
0, 33, 1116.035600, 18965.791303 
0, 34, 1118.460487, 18650.875739 
0, 35, 799.201251, 14425.450697 
0, 36, 987.044687, 18538.838847 
0, 37, 718.875124, 10909.627551 
0, 38, 787.243953, 12655.750608 
0, 39, 1036.470621, 21948.174462 
0, 40, 992.457503, 16742.848352 
0, 41, 959.880936, 19113.845227 
0, 42, 475.130726, 8770.525933 
0, 43, 966.001645, 19858.186361 
0, 44, 572.014975, 11115.533554 
0, 45, 709.373099, 11985.454542 
0, 46, 1072.357317, 18995.911148 
0, 47, 499.248100, 9790.328138 
0, 48, 1186.011941, 19868.736293 
0, 49, 712.957181, 13195.290681 
0, 50, 899.015795, 16696.189845 
0, 51, 982.977374, 19415.168637 
0, 52, 845.475969, 14469.528289 
0, 53, 1082.243027, 18421.894590 
0, 54, 526.155822, 8770.592890 
0, 55, 815.969804, 13885.344627 
0, 56, 795.536411, 12731.262970 
0, 57, 804.729612, 14199.072746 
0, 58, 664.210633, 11273.491138 
0, 59, 817.171566, 15614.298062 
0, 60, 352.985478, 7153.515209 
0, 61, 381.762945, 4972.251864 
0, 62, 1260.036580, 24991.741727 
0, 63, 505.731144, 9414.169540 
0, 64, 452.820490, 7509.376583 
0, 65, 884.735579, 14214.893922 
0, 66, 1104.318613, 21778.871579 
0, 67, 904.517977, 19990.176049 
0, 68, 773.450771, 14083.087536 
0, 69, 1063.361281, 20534.520856 
0, 70, 846.078021, 17112.801798 
0, 71, 999.217391, 18549.851984 
0, 72, 848.257220, 18494.964880 
0, 73, 880.487010, 15580.537237 
0, 74, 716.923035, 10882.570621 
0, 75, 457.599148, 9220.446907 
0, 76, 490.761876, 8643.029685 
0, 77, 1177.574651, 21076.106964 
0, 78, 1259.610164, 23766.340114 
0, 79, 883.757033, 14835.976286 
0, 80, 721.189199, 13855.982148 
0, 81, 862.979538, 17331.810148 
0, 82, 669.587849, 12619.573080 
0, 83, 139.308283, 1818.725945 
0, 84, 1164.041127, 22849.301646 
0, 85, 1164.256655, 18902.750107 
0, 86, 772.325035, 13660.000131 
0, 87, 780.111346, 12574.442769 
0, 88, 783.000184, 14104.884562 
0, 89, 847.281378, 16739.798316 
0, 90, 841.051114, 17769.771752 
0, 91, 1202.655329, 19972.768625 
0, 92, 1161.088731, 20803.801338 
0, 93, 1030.640325, 20655.802288 
0, 94, 801.023647, 15771.204229 
0, 95, 1026.084672, 21396.105754 
0, 96, 721.855411, 14815.381056 
0, 97, 729.764107, 15231.851875 
0, 98, 1011.774101, 19180.679159 
0, 99, 881.695665, 19646.506361 
0, 100, 896.962266, 17402.444272 
1, 0, 873.759471, 14636.065907 
1, 1, 0.000000, 0.000000 
1, 2, 334.263901, 5011.345498 
1, 3, 850.482171, 11484.505673 
1, 4, 1227.919732, 22076.924452 
1, 5, 465.239735, 7429.595209 
1, 6, 617.523793, 10554.643202 
1, 7, 549.309329, 7459.257443 
1, 8, 1192.566689, 21917.833492 
1, 9, 154.809303, 2073.306574 
1, 10, 1282.130496, 23685.690874 
1, 11, 1556.826735, 27268.050973 
1, 12, 1145.436696, 21551.542572 
1, 13, 1299.292918, 23581.261541 
1, 14, 1679.722881, 32357.044853 
1, 15, 1411.104872, 26302.690469 
1, 16, 1169.070185, 21954.199037 
1, 17, 1202.750800, 23710.783825 
1, 18, 1293.691849, 20327.864466 
1, 19, 1284.891724, 24767.174206 
1, 20, 1423.314919, 25546.966553 
1, 21, 682.004657, 9711.049903 
1, 22, 910.786470, 15527.141594 
1, 23, 1264.229711, 24155.108827 
1, 24, 1119.590986, 18301.382914 
1, 25, 1017.235366, 19626.026137 
1, 26, 1354.241006, 24652.331516 
1, 27, 1301.568557, 22367.886636 
1, 28, 757.206815, 10180.097868 
1, 29, 264.155896, 3726.754706 
1, 30, 1412.574009, 27359.800230 
1, 31, 1528.158938, 28811.875754 
1, 32, 1276.899957, 23374.242396 
1, 33, 1244.532586, 22555.850448 
1, 34, 1247.564281, 20249.799166 
1, 35, 739.843743, 10934.681642 
1, 36, 845.141694, 13440.520146 
1, 37, 1379.499533, 24702.515867 
1, 38, 903.104526, 17441.395840 
1, 39, 1109.108851, 23181.015388 
1, 40, 1121.561297, 18341.771780 
1, 41, 1683.871794, 32408.153083 
1, 42, 582.042541, 8363.995356 
1, 43, 1067.893497, 21563.435817 
1, 44, 1296.005832, 24409.841410 
1, 45, 308.812930, 4334.736561 
1, 46, 882.538541, 13807.988435 
1, 47, 669.526451, 12250.046832 
1, 48, 1315.115735, 21467.659721 
1, 49, 555.924770, 8125.890244 
1, 50, 1623.006653, 29990.497701 
1, 51, 1706.968231, 32709.476493 
1, 52, 957.396253, 16111.742719 
1, 53, 1211.346821, 20020.818018 
1, 54, 1250.146680, 22064.900746 
1, 55, 102.897201, 1540.457070 
1, 56, 910.500238, 17545.223707 
1, 57, 1528.720469, 27493.380602 
1, 58, 296.957691, 4265.684527 
1, 59, 505.170890, 8914.451402 
1, 60, 1076.976336, 20447.823066 
1, 61, 1217.020552, 19331.615370 
1, 62, 1984.027438, 38286.049583 
1, 63, 1229.722002, 22708.477396 
1, 64, 1048.364104, 19921.196611 
1, 65, 1580.735824, 27567.552015 
1, 66, 1206.210464, 23484.121035 
1, 67, 199.637122, 3110.683870 
1, 68, 714.093263, 10592.318481 
1, 69, 1165.253133, 22239.770312 
1, 70, 918.716251, 18345.642724 
1, 71, 487.802714, 7434.875246 
1, 72, 549.109132, 9467.016204 
1, 73, 992.407294, 17222.751667 
1, 74, 1356.398063, 25452.653829 
1, 75, 1181.590005, 22514.754764 
1, 76, 1214.752733, 21937.337541 
1, 77, 1006.407946, 16951.482678 
1, 78, 1361.502016, 25471.589570 
1, 79, 1003.885389, 16692.274724 
1, 80, 661.831691, 10365.213092 
1, 81, 935.617768, 18564.651074 
1, 82, 377.325159, 5219.305180 
1, 83, 976.779326, 16206.864120 
1, 84, 507.592634, 7577.428584 
1, 85, 1293.360449, 20501.673535 
1, 86, 884.245319, 15302.214561 
1, 87, 932.539946, 12933.530507 
1, 88, 1506.991041, 27399.192419 
1, 89, 862.044408, 13658.939636 
1, 90, 942.942965, 19475.021208 
1, 91, 1331.759123, 21571.692053 
1, 92, 1019.185738, 15705.482636 
1, 93, 1754.631182, 33950.110144 
1, 94, 902.915498, 17476.453685 
1, 95, 1750.075529, 34690.413610 
1, 96, 564.062062, 10667.316378 
1, 97, 214.536081, 2975.931727 
1, 98, 1113.665952, 20885.928615 
1, 99, 1605.686523, 32940.814217 
1, 100, 1620.953124, 30696.752129 
2, 0, 544.832852, 9698.020567 
2, 1, 406.921183, 6081.986174 
2, 2, 0.000000, 0.000000 
2, 3, 522.001588, 6843.963499 
2, 4, 898.993113, 17138.879113 
2, 5, 779.376107, 12125.024799 
2, 6, 931.660165, 15250.072792 
2, 7, 348.517600, 4650.570888 
2, 8, 1003.987326, 17764.229570 
2, 9, 285.961258, 4130.985455 
2, 10, 1023.046790, 18450.164261 
2, 11, 1227.900116, 22330.005634 
2, 12, 956.857333, 17397.938651 
2, 13, 970.366299, 18643.216201 
2, 14, 1350.796262, 27418.999514 
2, 15, 1222.525509, 22149.086548 
2, 16, 980.490822, 17800.595116 
2, 17, 1014.171437, 19557.179904 
2, 18, 964.765230, 15389.819127 
2, 19, 1096.312361, 20613.570285 
2, 20, 1094.388299, 20608.921214 
2, 21, 353.078038, 4773.004564 
2, 22, 722.207107, 11373.537673 
2, 23, 1075.650348, 20001.504906 
2, 24, 926.377308, 12723.197089 
2, 25, 828.656003, 15472.422216 
2, 26, 1025.314387, 19714.286176 
2, 27, 972.641937, 17429.841296 
2, 28, 852.273496, 13927.917532 
2, 29, 152.257504, 2150.746251 
2, 30, 1223.994646, 23206.196309 
2, 31, 1199.232319, 23873.830414 
2, 32, 947.973338, 18436.197056 
2, 33, 1051.925715, 14986.528905 
2, 34, 1054.350603, 14671.613341 
